"","WorkerId","Random.ID","Start.Date","End.Date","Progress","Duration..in.seconds.","Finished","Recorded.Date","Response.ID","User.Language","Q_RecaptchaScore","Click.to.write.the.question.text...Date","X...I.believe.I.have.encountered.this.animal.species.in.the.real.world.","Which.social.media.do.you.have.use..select.all.that.apply..","X...I.am.knowledgeable.about.wildlife.and.or.habitat.conservation.","X...This.animal.is.an.endangered.species.","X...After.seeing.this.post..I.am.more.likely.to.support.wildlife.conservation.and.or.research.","X...This.animal.would.make.a.good.pet.","X...I.believe.I.have.encountered.this.animal.species.online.","X...I.would.seek.out.an.experience.to.personally.interact.with.this.animal.","X...This.post.depicts.wildlife.research.","X...I.would.like.to.have.this.animal.as.a.pet.","X...I.think.wildlife.conservation.is.important.","X...I.actively.support.or.participate.in.wildlife.and.or.habitat.conservation.","X...After.seeing.this.post..I.would.like.to.see.more.images.like.this.","To.see.the.post.again..use.your.mouse.to.click.on.the..Back..button.....What.one.word.comes.to.mind.when.you.see.this.post.","What.is.your.age.","Please.specify.your.ethnicity.","To.which.gender.identity.do.you.most.identify.","What.is.the.highest.degree.or.level.of.school.you.have.completed..If.currently.enrolled..what.is.your.highest.degree.received.","Treatment.shown","image","qresearch","qinteract","qgoodpet","qhavepet"
"1","A2OL5U1YWPFBDI",42944,2022-08-19 15:50:10,2022-08-19 16:01:42,100,692,"1",2022-08-19 16:01:42,"R_2aPjU1jSD7i68DA","EN",1,"44792",4,"1,2,3,4,5",5,4,5,4,4,5,5,5,4,4,4,"jessd",38,1,2,4,"Image3","Image3",5,5,4,5
"2","A58GP5CIF6DJ5",95892,2022-08-19 15:50:11,2022-08-19 15:55:27,100,315,"1",2022-08-19 15:55:27,"R_3JDCnaIzwa3Nqnw","EN",0.899999976158142,"44792",2,"1,2,3,4,5",1,4,3,1,4,2,4,1,5,5,4,"Scary",44,5,2,3,"Image2","Image2",4,2,1,1
"3","A362SLD9P7DE1M",58452,2022-08-19 15:50:19,2022-08-19 16:03:18,100,779,"1",2022-08-19 16:03:19,"R_21zwTGnuBb4m0GI","EN",0.899999976158142,"44792",5,"1,2,4",4,5,4,4,4,5,4,5,4,4,5,"Satisfaction",56,1,1,4,"Image1","Image1",4,5,4,5
"4","A2NVX39CZ34V4E",32255,2022-08-19 15:50:25,2022-08-19 15:58:14,100,469,"1",2022-08-19 15:58:15,"R_yygq9kjAqSgKVON","EN",1,"44792",5,"1,2,3,4,5",4,5,4,5,4,4,5,4,4,4,5,"gorilla",48,1,2,4,"Image1","Image1",5,4,5,4
"5","AFK5ZOC4WQEZ2",49209,2022-08-19 15:50:48,2022-08-19 16:11:59,100,1271,"1",2022-08-19 16:12:00,"R_1eJ1ei26TcldE00","EN",1,"44792",4,"1,2,3,4,5",4,5,4,4,4,4,5,3,5,5,3,"Torture",25,1,1,4,"Image3","Image3",5,4,4,3
"6","A3AFAU16GDVSJ1",69091,2022-08-19 15:50:55,2022-08-19 16:07:32,100,996,"1",2022-08-19 16:07:32,"R_10I5v9wJnqqsJDA","EN",0.899999976158142,"44792",1,"1,2,3",4,3,5,2,4,4,4,2,5,5,5,"Wildlife",32,3,2,5,"Image4","Image4",4,4,2,2
"7","A1CB72B51L7TKE",92572,2022-08-19 15:51:01,2022-08-19 15:54:16,100,195,"1",2022-08-19 15:54:17,"R_3qvVPhKp2CwAdbs","EN",0.899999976158142,"44792",1,"1,2,3",4,2,4,3,5,5,5,5,5,4,5,"australia",48,1,1,3,"Image4","Image4",5,5,3,5
"8","A321PTKQRXYNER",50136,2022-08-19 15:51:06,2022-08-19 15:59:26,100,499,"1",2022-08-19 15:59:26,"R_3qeOO9WHBPtlTuV","EN",0.899999976158142,"44792",4,"1,2,3",4,4,4,4,4,4,5,4,5,4,4,"CUTE ANIMAL",42,4,2,5,"Image4","Image4",5,4,4,4
"9","A23PO232SEACNN",16107,2022-08-19 15:51:20,2022-08-19 16:00:31,100,551,"1",2022-08-19 16:00:32,"R_2dQ5oIkmsYA0wre","EN",0.899999976158142,"44792",5,"1,2",4,2,4,3,3,2,5,2,5,4,4,"somewhat afraid what would do the animal next",51,1,1,2,"Image1","Image1",5,2,3,2
"10","A3VFA6HNMEXO9L",51581,2022-08-19 15:51:23,2022-08-19 15:54:00,100,156,"1",2022-08-19 15:54:00,"R_2PdlQU3WCIDQ5A2","EN",1,"44792",1,"1,2,5",2,3,3,1,5,4,5,1,5,1,4,"nature",27,1,2,2,"Image2","Image2",5,4,1,1
"11","A1B3Y1O8AKNODN",65993,2022-08-19 15:51:24,2022-08-19 16:01:20,100,595,"1",2022-08-19 16:01:21,"R_1pMzUr9HkOf5Eny","EN",0.899999976158142,"44793",4,"1,2,3,4,5",5,3,5,4,4,5,4,5,4,4,4,"SAVE ANIMALS",47,1,1,4,"Image4","Image4",4,5,4,5
"12","A3H78MPB16RT7K",30867,2022-08-19 15:51:25,2022-08-19 16:00:51,100,566,"1",2022-08-19 16:00:51,"R_2rkE9lfbYoqjqzA","EN",0.899999976158142,"44792",5,"1",4,4,4,4,5,4,2,2,5,4,4,"good",42,1,1,4,"Image4","Image4",2,4,4,2
"13","A3PRX1XFWEZ3AT",66172,2022-08-19 15:51:29,2022-08-19 16:01:14,100,584,"1",2022-08-19 16:01:14,"R_3DiPh1FnPaI4p7H","EN",1,"44792",2,"1,2,3",4,5,4,4,2,4,4,4,4,5,4,"kind",33,1,2,4,"Image3","Image3",4,4,4,4
"14","A14E4ISXVJVY6F",47636,2022-08-19 15:51:35,2022-08-19 15:56:55,100,320,"1",2022-08-19 15:56:56,"R_Xvz1PJZ66cFiayt","EN",1,"44792",5,"1,2,3",4,1,5,4,2,5,2,5,4,5,4,"CARING",40,1,2,4,"Image3","Image3",2,5,4,5
"15","A3VNW2H3CFIG2Y",67054,2022-08-19 15:51:35,2022-08-19 15:59:28,100,473,"1",2022-08-19 15:59:28,"R_2vYfGBMKJytxNlu","EN",0.899999976158142,"44792",5,"1,2,3,4,5",5,5,5,5,5,5,5,5,5,5,5,"SAVE WILD ANIMALS",32,1,1,5,"Image4","Image4",5,5,5,5
"16","AYOAE5J9JNRRB",16338,2022-08-19 15:51:36,2022-08-19 16:01:07,100,571,"1",2022-08-19 16:01:07,"R_3qwCIiRNjGywFkr","EN",0.899999976158142,"44792",4,"1,2,3",3,4,4,4,4,3,4,2,4,4,4,"animals love with human",30,1,2,4,"Image3","Image3",4,3,4,2
"17","A1RCQE1TJGENCU",91909,2022-08-19 15:51:37,2022-08-19 16:01:12,100,575,"1",2022-08-19 16:01:12,"R_2ARuA0cblhfaZgn","EN",0.899999976158142,"44792",2,"2",3,4,3,3,4,4,3,2,4,4,4,"Research",25,1,2,4,"Image3","Image3",3,4,3,2
"18","A2O3K4YJEZMPQ4",69104,2022-08-19 15:51:38,2022-08-19 15:58:21,100,403,"1",2022-08-19 15:58:22,"R_2aQQLRT88dvPj4m","EN",1,"44792",4,"1,2,3",4,4,3,4,4,4,4,4,4,3,4,"me with my research",30,4,1,5,"Image3","Image3",4,4,4,4
"19","A3IE9FGFEF69UW",16115,2022-08-19 15:51:39,2022-08-19 16:09:22,100,1063,"1",2022-08-19 16:09:22,"R_2a8r2JqsPy8X7vr","EN",0.899999976158142,"44792",4,"1,2,3,5",4,4,5,5,5,4,3,4,5,4,4,"ALL ANIMALS ARE OBSER VED SAFELY AND HUMANLY",28,1,1,4,"Image2","Image2",3,4,5,4
"20","AH7WE5OA2UXSM",16115,2022-08-19 15:51:39,2022-08-19 16:09:22,100,1063,"1",2022-08-19 16:09:22,"R_2a8r2JqsPy8X7vr","EN",0.899999976158142,"44792",4,"1,2,3,5",4,4,5,5,5,4,3,4,5,4,4,"ALL ANIMALS ARE OBSER VED SAFELY AND HUMANLY",28,1,1,4,"Image2","Image2",3,4,5,4
"21","A2RCYLKY072XXO",33192,2022-08-19 15:51:39,2022-08-19 15:54:05,100,146,"1",2022-08-19 15:54:06,"R_116kUJdWcZbUwun","EN",1,"44792",1,"1,2,3",4,5,2,1,5,1,5,1,5,2,2,"invasive",34,5,1,4,"Image2","Image2",5,1,1,1
"22","A1BXWUOJFE7F1K",44868,2022-08-19 15:51:40,2022-08-19 16:04:20,100,759,"1",2022-08-19 16:04:21,"R_2teOpHZ5gr4Xz3j","EN",0.800000011920929,"44792",5,"1",5,5,5,4,5,5,5,5,5,5,5,"SAVE WILD ANIMALS",43,1,2,4,"Image2","Image2",5,5,4,5
"23","A37CV45RPN41FL",53993,2022-08-19 15:51:41,2022-08-19 15:57:10,100,329,"1",2022-08-19 15:57:11,"R_yRfelFyK3ECOsXT","EN",1,"44792",2,"1,2",5,4,3,4,3,2,5,5,4,4,4,"fear",36,1,2,4,"Image1","Image1",5,2,4,5
"24","A3H7JSG6XGTQ3E",34264,2022-08-19 15:51:42,2022-08-19 16:05:34,100,831,"1",2022-08-19 16:05:34,"R_3qlpfTgd0gofIGW","EN",1,"44792",4,"1,2",2,2,4,5,4,4,4,2,4,5,4,"monkey",37,1,2,4,"Image2","Image2",4,4,5,2
"25","A2L7RTYO4UMYDH",34264,2022-08-19 15:51:42,2022-08-19 16:05:34,100,831,"1",2022-08-19 16:05:34,"R_3qlpfTgd0gofIGW","EN",1,"44792",4,"1,2",2,2,4,5,4,4,4,2,4,5,4,"monkey",37,1,2,4,"Image2","Image2",4,4,5,2
"26","A2KVX76HMY6SZQ",49180,2022-08-19 15:51:43,2022-08-19 16:30:46,100,2343,"1",2022-08-19 16:30:47,"R_xGFLJkUSDUZK61b","EN",0.899999976158142,"44792",4,"1,2,4",4,4,4,4,4,4,4,4,4,4,4,"animal",30,1,1,5,"Image1","Image1",4,4,4,4
"27","A15CL9A9FVSJDW",47990,2022-08-19 15:51:44,2022-08-19 15:55:34,100,230,"1",2022-08-19 15:55:35,"R_1Nk0UMmgvGewo0g","EN",1,"44792",5,"1,2,3",4,4,4,1,5,4,5,2,4,2,4,"Gorilla",27,1,1,2,"Image1","Image1",5,4,1,2
