WorkerId,Answer.surveycode
A3G3G7SCD88G1J,21530
A3JN18TC8GL3IH,72049
A2HNP1YL1IBFMU,89925
A1AXD2Q0MREL8W,23198
A2BAQ26SMQQEUG,78773
A54KH61CDVIB6,98667
A2UTHXLZL8TNBK,85646
AMG9Y1YLBTKIV,10836
A1R8A1ZKR80MRA,68782
A33TFZWRGY3ASF,91624
A38DC3BG1ZCVZ2,32031
A3KNO82DZ519HG,20041
A1V6CP5I0TOSAR,35712
A3TUMZ954ORSUC,81087
AL8NYDL4JOYL3,21438
A2EJEI8Q1HIWC7,58172
AM9XH69KBK5X5,62191
A1VIKMTWX0JA3E,46554
A14PFRHG0A2YY9,84596
A1Q2B0S25HHYHQ,95535
AHXCMJUY4KI4C,81651
A1IZ4NX41GKU4X,30887
A1NF6PELRKACS9,72543
A31Z5TPD8QKE26,98345
A16X5FB3HAFCKN,17028
A1KFK92GEFQ9F5,56625
ABY1RK8H6HC8C,29638
A26D2ZZKJW7BXR,27519
AHV4U78TUUDKI,34082
AORHXBTOCXFUK,94069
A27HVVLSZZ13XK,33712
A2EN81T1B3UG8O,97768
A208HLY9MGQIXA,78389
AVOF14300525D,98740
A23WTODPHXZ68Y,70506
A1PVG9LMZ1183E,54012
A1G96GPSRSLPC0,25481
A1NHTBY5YB9JH7,16941
A3V5IIPZ95YVKH,42651
A3CFNUD7VR2E1E,35824
AURYD2FH3FUOQ,14534
A3QZMGTVA4VO44,46994
APSN3KV49VLKX,96996
A39J5RLVDTM6SM,57907
A1VSHM4NLZ705D,33115
A3QIEF1HBF69Y4,90897
A22051NK9RQ4FV,10036
A35BY30TC8WCL4,50811
A3L3ZFL1NYFTCF,57864
A2OZGNW6THEMJ,82370
A3E26Y02PGX10Y,22066
A3VOMP0WOJTB4I,94150
A1ONILGBGJ8Y5K,52572
AJY6J33X1KJNP,97968
A2PYXFVGNJPPX0,80610
A2SO6K35NMGBB7,59033
A22KRF782ELLB0,86417
A2O2Q0LVWOWJ1G,39094
AAWX7QFQUNM6D,53717
A2YHSU2IJZ9J14,19109
A26399B1QZ7XJJ,90973
A1XO6ONCCTBMKW,17116
A1B8GYI6D690QX,41777
A1IXQS0AB02CPA,24100
A2M6ON3DU45IEO,17206
A2R76CKAHFJ6JM,48914
A28A3HF3LSEIDT,17967
A353KETOEN0W8T,28499
A1SCNO7L71ITFY,41878
A3862RIFFUV141,21237
A144OK7GGOQZKS,94562
A3HALUPLZ4IKYJ,88054
A2G57M3XD1AIBS,31009
A9MK3VLKHHXJ6,59862
A2F0X4LN9N4O4C,11166
A1AA9CXCTHJFUP,72693
A264NN7JBX4UDQ,30516
A1G5AIOZU5D4NE,42324
A1S88VQY8G8CNC,77128
A3AWC4P8QUK1XB,75640
A2ARHK50FQ79YC,96611
A2LV5432PV1S39,77768
A3EOXBHKJRLB2Q,47020
A6PPB69C6ZJHN,82070
A1EX0MEOPF8AHT,39846
AQJWO4YPR3LUQ,31334
A219VCQZADQ45W,86943
A3AA5G6HENO6VJ,21611
A1D4I1QYL9713I,27561
ADQ27JG7OMACZ,25243
A8F6JFG0WSELT,26241
AY0BJCGY2DHIX,60345
A3RQJM16UBTZKK,33879
ATHS9GUME1XCA,86393
A1Y0ABOUJUMCWW,14312
AKX5RHHO8BIUX,48409
A1IOMFFEKCWOIT,97513
A2SWQM5X54P1O5,69116
A26UAJWMMNN351,48114
A2Z3I9XW0SHBPY,35175
A2WMSIPUKEIBNS,64635
ALML8V38FDV0,92469
A13XXMDHOULEZ7,52037
A2KJ983WWTEK4L,43269
ABQ65VUI4C9RK,49503
A314XJY8V1YL12,96892
