WorkerId,Random.ID,Start.Date,End.Date,Progress,Duration..in.seconds.,Finished,Recorded.Date,Response.ID,User.Language,Q_RecaptchaScore,Click.to.write.the.question.text...Date,X...I.believe.I.have.encountered.this.animal.species.in.the.real.world.,Which.social.media.do.you.have.use..select.all.that.apply..,X...I.am.knowledgeable.about.wildlife.and.or.habitat.conservation.,X...This.animal.is.an.endangered.species.,X...After.seeing.this.post..I.am.more.likely.to.support.wildlife.conservation.and.or.research.,X...This.animal.would.make.a.good.pet.,X...I.believe.I.have.encountered.this.animal.species.online.,X...I.would.seek.out.an.experience.to.personally.interact.with.this.animal.,X...This.post.depicts.wildlife.research.,X...I.would.like.to.have.this.animal.as.a.pet.,X...I.think.wildlife.conservation.is.important.,X...I.actively.support.or.participate.in.wildlife.and.or.habitat.conservation.,X...After.seeing.this.post..I.would.like.to.see.more.images.like.this.,To.see.the.post.again..use.your.mouse.to.click.on.the..Back..button.....What.one.word.comes.to.mind.when.you.see.this.post.,What.is.your.age.,Please.specify.your.ethnicity.,To.which.gender.identity.do.you.most.identify.,What.is.the.highest.degree.or.level.of.school.you.have.completed..If.currently.enrolled..what.is.your.highest.degree.received.,Treatment.shown
A2OL5U1YWPFBDI,42944,8/19/2022 15:50,8/19/2022 16:01,100,692,1,8/19/2022 16:01,R_2aPjU1jSD7i68DA,EN,1,8/19/2022,4,"1,2,3,4,5",5,4,5,4,4,5,5,5,4,4,4,jessd,38,1,2,4,Image3
A58GP5CIF6DJ5,95892,8/19/2022 15:50,8/19/2022 15:55,100,315,1,8/19/2022 15:55,R_3JDCnaIzwa3Nqnw,EN,0.899999976,8/19/2022,2,"1,2,3,4,5",1,4,3,1,4,2,4,1,5,5,4,Scary,44,5,2,3,Image2
A362SLD9P7DE1M,58452,8/19/2022 15:50,8/19/2022 16:03,100,779,1,8/19/2022 16:03,R_21zwTGnuBb4m0GI,EN,0.899999976,8/19/2022,5,"1,2,4",4,5,4,4,4,5,4,5,4,4,5,Satisfaction,56,1,1,4,Image1
A2NVX39CZ34V4E,32255,8/19/2022 15:50,8/19/2022 15:58,100,469,1,8/19/2022 15:58,R_yygq9kjAqSgKVON,EN,1,8/19/2022,5,"1,2,3,4,5",4,5,4,5,4,4,5,4,4,4,5,gorilla,48,1,2,4,Image1
AFK5ZOC4WQEZ2,49209,8/19/2022 15:50,8/19/2022 16:11,100,1271,1,8/19/2022 16:12,R_1eJ1ei26TcldE00,EN,1,8/19/2022,4,"1,2,3,4,5",4,5,4,4,4,4,5,3,5,5,3,Torture,25,1,1,4,Image3
A3AFAU16GDVSJ1,69091,8/19/2022 15:50,8/19/2022 16:07,100,996,1,8/19/2022 16:07,R_10I5v9wJnqqsJDA,EN,0.899999976,8/19/2022,1,"1,2,3",4,3,5,2,4,4,4,2,5,5,5,Wildlife,32,3,2,5,Image4
A1CB72B51L7TKE,92572,8/19/2022 15:51,8/19/2022 15:54,100,195,1,8/19/2022 15:54,R_3qvVPhKp2CwAdbs,EN,0.899999976,8/19/2022,1,"1,2,3",4,2,4,3,5,5,5,5,5,4,5,australia,48,1,1,3,Image4
A321PTKQRXYNER,50136,8/19/2022 15:51,8/19/2022 15:59,100,499,1,8/19/2022 15:59,R_3qeOO9WHBPtlTuV,EN,0.899999976,8/19/2022,4,"1,2,3",4,4,4,4,4,4,5,4,5,4,4,CUTE ANIMAL,42,4,2,5,Image4
A23PO232SEACNN,16107,8/19/2022 15:51,8/19/2022 16:00,100,551,1,8/19/2022 16:00,R_2dQ5oIkmsYA0wre,EN,0.899999976,8/19/2022,5,"1,2",4,2,4,3,3,2,5,2,5,4,4,somewhat afraid what would do the animal next,51,1,1,2,Image1
A3VFA6HNMEXO9L,51581,8/19/2022 15:51,8/19/2022 15:54,100,156,1,8/19/2022 15:54,R_2PdlQU3WCIDQ5A2,EN,1,8/19/2022,1,"1,2,5",2,3,3,1,5,4,5,1,5,1,4,nature,27,1,2,2,Image2
